"plot","species","treat","burned","dmort","dbh_l","growth_z","n_size1_l","n_lg_l","f_eng","p_mpb","p_jpb","p_rtb","twi","srad","nba_eng_hl","nba_eng_nl","nba_rtb_hl","nba_rtb_nl","nba_mpb_hl","nba_mpb_nl","nba_jpb_hl","nba_jpb_nl"
"bc1","abco","bc",1,0,3.20680324363393,0.142988228458752,2.89037175789616,2.07944154167984,1,0,0,0,5.01559662781064,1608223.46706349,-0.164897517036744,-0.726176033148275,-6.90775527898214,0.28573211642265,-6.90775527898214,0.28573211642265,-6.90775527898214,0.28573211642265
"bc1","cade","bc",1,0,2.43361335540045,-0.5112767,2.89037175789616,2.07944154167984,0,0,0,0,4.89197923739751,1615952.51442308,0.561589954214781,-1.01792830296498,-6.90775527898214,0.748487730413709,-6.90775527898214,0.748487730413709,-6.90775527898214,0.748487730413709
"bc1","abco","bc",1,0,2.43361335540045,-0.388850726383579,1.94591014905531,1.79175946922805,0,0,0,0,3.86906796370071,1691079.73202875,-0.0290008612855513,-0.108998204922808,-0.108998204922808,-0.0290008612855513,-6.90775527898214,0.624411948202611,-0.108998204922808,-0.0290008612855513
"bc1","cade","bc",1,0,3.25809653802148,0.415969,0.693147180559945,1.09861228866811,0,0,0,0,3.92309613965261,1598111.40865385,-2.17285999073561,-2.97072229279364,-6.90775527898214,-1.80717079073236,-6.90775527898214,-1.80717079073236,-6.90775527898214,-1.80717079073236
"bc1","cade","bc",1,0,4.64439089914137,0.9136719,0,0.693147180559945,0,0,0,0,3.64930515213618,1668072.81468254,-6.90775527898214,0.280715296627601,-6.90775527898214,0.280715296627601,-6.90775527898214,0.280715296627601,-6.90775527898214,0.280715296627601
"bc1","abco","bc",1,1,3.29583686600433,0.0263528971593718,0,0.693147180559945,0,0,0,0,3.83361815614036,1688308.57080696,-6.90775527898214,0.280715296627601,-6.90775527898214,0.280715296627601,-6.90775527898214,0.280715296627601,-6.90775527898214,0.280715296627601
"bc1","cade","bc",1,0,4.86599480426999,-0.2439496,1.38629436111989,1.38629436111989,0,0,0,0,4.19295387839669,1671087.59739748,-1.89866248993535,0.54201908797664,-0.13915327876844,-0.000851079465405434,-0.13915327876844,-0.000851079465405434,-6.90775527898214,0.624998916827139
"bc1","pila","bc",1,1,4.65586330030361,1.007808,2.19722457733622,0.693147180559945,0,1,0,0,4.44679828672289,1672250.28537736,-1.56166664621255,0.280715296627601,-6.90775527898214,0.427137047021491,-6.90775527898214,0.427137047021491,-6.90775527898214,0.427137047021491
"bc1","abma","bc",1,1,2.05412373369555,-0.5519598,1.94591014905531,1.38629436111989,1,0,0,0,4.45190124199413,1671987.88538339,-2.19720581891216,1.37212015370892,-0.13915327876844,1.15836488774792,-0.13915327876844,1.15836488774792,-6.90775527898214,1.39965873133948
"bc1","cade","bc",1,0,5.00193085346611,0.4606611,2.19722457733622,0,0,0,0,0,4.40817412421817,1693751.92579365,-1.91951651319642,-4.19300445726345,-6.90775527898214,-1.82772634020812,-6.90775527898214,-1.82772634020812,-6.90775527898214,-1.82772634020812
"bc1","abco","bc",1,0,2.98568193770049,0.0481679141070286,2.07944154167984,1.09861228866811,0,0,0,0,4.44393507284097,1703358.81948882,-1.84833429183756,0.958018172443989,-0.13915327876844,0.638654199736377,-0.13915327876844,0.638654199736377,-6.90775527898214,1.01632608053673
"bc1","abco","bc",1,0,3.14845336057165,-0.279052478543123,1.09861228866811,1.09861228866811,1,0,0,0,4.13628611006798,1677943.75961538,-2.86825555779821,0.78534854773731,-0.13915327876844,0.321992554526528,-0.13915327876844,0.321992554526528,-6.90775527898214,0.810471957142788
