"plot","cade","abma","abco","pije","pila","abma_abco","pije_pila","species","treat","burned","dmort","dbh_s","growth_z","n_size1_s","n_lg_s","f_eng","p_mpb","p_jpb","p_rtb","nba_eng_hs","nba_eng_ns","nba_rtb_hs","nba_rtb_ns","nba_mpb_hs","nba_mpb_ns","nba_jpb_hs","nba_jpb_ns","twi_s","srad_s","p_rtbmpb","p_rtbjpb"
"uc1",0,0,1,0,0,1,0,"abco","uc",0,1,-1.4233931649153,-0.5618042,0.563508946756834,-1.29213209096819,1,0,0,0,0.398081529899846,-1.59166647582598,-0.999802685644583,0.190402836455375,-0.819107301294472,0.103979068640599,-0.461223196874152,0.01796740846618,-0.942311437667527,0.398196567335737,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,-0.331327859566083,0.1942091,-2.10721328109692,-2.310302932718,0,0,0,0,-2.90120525764799,-1.59166647582598,-0.999802685644583,-3.88865756035805,-0.819107301294472,-4.36210663118965,-0.461223196874152,-4.2659395625175,-0.103619816436475,0.0431837480429118,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,1.69997040777422,0.2901764,-1.33520142415905,-1.29213209096819,1,0,0,0,0.366966545350935,-1.59166647582598,-0.999802685644583,0.151933946239481,-0.819107301294472,0.0618602119019835,-0.461223196874152,-0.0224333532118318,-0.174222918519122,-0.267450957139332,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,1.7023087787483,0.6792624,-1.33520142415905,-0.696540329216849,1,0,0,0,0.365124336590884,0.903647215856889,1.31009184125669,0.149656338598901,-0.819107301294472,0.639635133469049,2.74581997282466,-0.0248253401645795,-0.400330567307234,-0.416869704029463,0,0
"uc1",0,0,0,1,0,0,1,"pije","uc",0,0,1.91999683740002,0.183254,-1.33520142415905,-0.696540329216849,0,0,1,0,0.404774589727257,-1.59166647582598,-0.999802685644583,0.198677774959822,-0.819107301294472,0.113039141531541,-0.461223196874152,0.0266579065944631,-0.475068420495517,-0.591570147207014,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,1,1.27118723972817,-0.111838,-1.33520142415905,0.744209592531443,1,0,0,0,1.06759532000484,-1.59166647582598,-0.999802685644583,1.01815360872684,-0.819107301294472,1.01026765655976,-0.461223196874152,0.887287045493617,1.56051697230076,0.455357698978026,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,1.69997040777422,-1.066774,-1.33520142415905,0.744209592531443,0,0,0,0,1.00721650721023,-1.59166647582582,-0.999802685644583,0.943504498195835,-0.819107301294472,0.928535764257309,-0.461223196874152,0.808889126886844,1.61486006998751,0.422676156936514,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,1,1.4573891748184,-0.8486877,-1.33520142415905,0.744209592531443,0,0,0,0,1.04729736399719,-1.59166647582598,-0.999802685644583,0.993058309706582,-0.819107301294472,0.982791290636159,-0.461223196874152,0.860931484174699,1.75005177853761,0.598608914538766,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,-0.662419596002275,-0.1691871,-0.563189567221186,-0.273961249218371,0,0,0,0,0.971272936130491,-1.59166647582598,-0.999802685644583,0.899065803789286,-0.819107301294472,0.879880682375399,-0.461223196874152,0.762218763070132,1.8334469298479,-0.256979525396872,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,-0.482196824693108,0.1882612,0.0600980053644334,-0.696540329216849,0,0,0,0,0.411243006851568,-1.59166647582594,-0.999802685644583,0.206674977331386,-0.819107301294472,0.12179512640938,-0.461223196874152,0.0350567209426576,1.2411457654071,0.534411905323889,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,1.66434693795854,1.538276,1.1120182625582,-0.696540329216849,1,0,0,0,-0.0425140487949734,-0.497267180619397,0.0132751292482673,-0.354325794850088,-0.819107301294472,-0.455235771502018,0.945327729493914,-0.554116982038767,0.360647896693536,0.465903864265489,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,-0.913004939589338,-0.2431995,0.660420276137442,-0.273961249218371,0,0,0,0,0.50191395955891,-1.59166647582598,-0.999802685644583,0.318775657310392,-0.819107301294472,0.244532030277387,-0.461223196874152,0.152786991568028,0.845189065470363,0.474688725153848,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,1,-1.21581078323119,-0.5472614,0.908952582471905,-0.273961249218371,0,0,0,0,0.510852995739045,-0.497267180619398,0.0132751292482673,0.329827399949343,-0.819107301294472,0.268704480321894,0.945327729493914,0.164393742321095,0.81187502017917,0.493255917385451,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,0.134927406729906,0.2647381,1.17223712669412,-0.696540329216849,0,0,0,0,0.491918700360654,-0.497267180619398,0.0132751292482673,0.306418057448091,-0.819107301294472,0.243551651089151,0.945327729493914,0.139808804670846,0.62967421604526,0.57602396376992,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,-1.24153380618816,-0.4470006,1.1120182625582,-0.273961249218371,1,0,0,0,0.516831960971623,-0.497267180619395,0.0132751292482673,0.337219470376861,-0.819107301294472,0.276650874037812,0.945327729493914,0.172157035568526,0.62967421604526,0.57602396376992,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,-0.3946476477249,0.08148136,0.832109862302302,-0.273961249218371,0,0,0,0,0.509596733025244,-1.59166647582598,-0.999802685644583,0.328274224425712,-0.819107301294472,0.254931830877484,-0.461223196874152,0.16276256778442,1.26717929908767,0.580566173597613,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,-0.754833272273664,-0.1316181,0.908952582471905,-0.273961249218371,0,0,0,0,0.513194889913292,-1.59166647582598,-0.999802685644583,0.332722791709693,-0.819107301294472,0.259802482645043,-0.461223196874152,0.167434537930688,1.65582464750469,0.649623257767422,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,-0.0710955638158916,0.1126122,-0.563189567221186,-0.273961249218371,0,0,0,0,0.966559006992339,-1.59166647582598,-0.999802685644583,0.893237755820437,-0.819107301294472,0.87349966342507,-0.461223196874152,0.756098036017283,1.90925922189058,-0.336465820904765,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,1,0.117957710867173,0.4852484,1.04835649714129,-0.273961249218371,0,0,0,0,0.713549480485218,-1.59166647582598,-0.999802685644583,0.580430411067371,-0.819107301294472,0.531012847026152,-0.461223196874152,0.427581800805517,1.42950296008652,0.699166536099746,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,1,-0.271128567717127,-0.2498885,0.980834146654551,0.0538165501360088,0,0,0,0,0.715051614493773,-1.59166647582598,-0.999802685644583,0.582287568610669,-0.819107301294472,0.533046213522254,-0.461223196874152,0.429532223052799,1.36226454697105,0.745598873179926,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,-0.13770904085065,0.1351476,1.1120182625582,0.0538165501360088,0,0,0,0,0.721649619833246,-1.59166647582606,-0.999802685644583,0.590444986868393,-0.819107301294472,0.541977615728707,-0.461223196874152,0.438099299178171,1.3797928349783,0.713196161621622,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,-0.933034871143391,-0.4542934,1.1120182625582,-0.273961249218371,0,0,0,0,0.453103400174783,-1.59166647582598,-0.999802685644583,0.258428911922403,-0.819107301294472,0.178459525732189,-0.461223196874152,0.0894096894212547,1.78760451979222,0.743049804826955,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,-0.539367415609512,-0.2113612,0.980834146654551,-0.273961249218371,0,0,0,0,0.776166296829891,-1.59166647582582,-0.999802685644583,0.657846468589285,-0.819107301294472,0.61577421699899,-0.461223196874152,0.508885619877008,1.68152040339698,0.772561306726128,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,1,-1.56730029661365,-0.6296105,0.908952582471905,-0.273961249218371,1,0,0,0,0.778285410302289,-1.59166647582598,-0.999802685644583,0.660466426294761,-0.819107301294472,0.618642758894503,-0.461223196874152,0.511637149392712,1.72013962975734,0.775547869040109,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,1.49947594648486,0.08315901,0.660420276137442,-0.696540329216849,0,0,0,0,0.579953125338379,-1.59166647582598,-0.999802685644583,0.415259076615684,-0.819107301294472,0.350169892263131,-0.461223196874152,0.254115717386644,1.47559770646128,0.842242126970939,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,1,-1.53382427211729,-0.7479267,0.832109862302302,-0.273961249218371,1,0,0,0,0.771544290515029,-1.59166647582598,-0.999802685644583,0.652132069045743,-0.819107301294472,0.609517629549472,-0.461223196874152,0.502884248566426,1.50126002871156,0.821726661471458,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,-0.532073074773415,0.04636919,0.749570057191825,-0.273961249218371,1,0,0,0,0.766671435215606,-1.59166647582598,-0.999802685644583,0.646107533335088,-0.819107301294472,0.602921479905183,-0.461223196874152,0.4965571663423,1.50627306638646,0.816664621567485,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,-0.434277017722618,-0.02553803,0.660420276137442,-0.273961249218371,0,0,0,0,0.761933985723992,-1.59166647582598,-0.999802685644583,0.640250406068648,-0.819107301294472,0.596508622584618,-0.461223196874152,0.490405899656904,1.69114739535946,0.812027084241826,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,1,-0.288878978626324,0.02115608,-2.10721328109692,-2.310302932718,0,0,0,0,-2.90120525764799,-1.59166647582598,-0.999802685644583,-3.88865756035805,-0.819107301294472,-4.36210663118965,-0.461223196874152,-4.2659395625175,-0.936186527941471,-0.467402789026361,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,1,1.83709699699294,0.1491104,0.208822289716683,-0.696540329216849,0,0,0,0,0.789902618246269,-1.59166647582598,-0.999802685644583,0.67482931618499,-0.819107301294472,0.63436841404712,-0.461223196874152,0.52672133009577,1.2575538420126,0.846631743712159,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,1,-1.39359172502635,-0.5909484,0.660420276137442,-0.696540329216849,1,0,0,0,0.751015218430013,-1.59166647582598,-0.999802685644583,0.626751030561498,-0.819107301294472,0.581728412917651,-0.461223196874152,0.476228598216555,1.53648251227628,0.804327686587474,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,-1.26781005462935,-0.3903987,0.563508946756834,-0.696540329216849,1,0,0,0,0.742020087894524,-1.59166647582606,-0.999802685644583,0.615629935884319,-0.819107301294472,0.569552137728638,-0.461223196874152,0.464549012631171,1.15391841810269,0.847776912365394,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,-0.434277017722618,0.2869849,0.660420276137442,-1.29213209096819,0,0,0,0,0.328019123763892,-1.59166647582598,-0.999802685644583,0.103781452932957,-0.819107301294472,0.00913896219079056,-0.461223196874152,-0.0730040194140803,0.946979339325539,0.878710371926144,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,-0.52482202404879,0.274703,0.563508946756834,-2.310302932718,0,0,0,0,-0.508542484070042,-1.59166647582598,-0.999802685644583,-0.930498239541484,-0.819107301294472,-1.12327421506774,-0.461223196874152,-1.15922426464493,0.71168501469617,0.906860859492802,0,0
"uc1",0,1,0,0,0,1,0,"abma","uc",0,0,0.0476189545109763,-0.05035932,-0.563189567221186,-0.696540329216849,0,0,0,0,0.719905749378801,-1.59166647582598,-0.999802685644583,0.588288959409748,-0.819107301294472,0.539617022242761,-0.461223196874152,0.435834998049672,1.36718760977561,-0.345080421271713,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,0.239832599453339,0.8161772,0.908952582471905,-0.696540329216849,0,0,0,0,-0.154073057618174,-1.59166647582598,-0.999802685644583,-0.492251341824648,-0.819107301294472,-0.643446016295017,-0.461223196874152,-0.698969020175451,0.4764688091624,1.00772291128957,0,0
"uc1",0,0,1,0,0,1,0,"abco","uc",0,0,1.63384614135838,1.368035,-2.10721328109692,-2.310302932718,0,0,0,0,-2.90120525764799,-1.59166647582598,-0.999802685644583,-3.88865756035805,-0.819107301294472,-4.36210663118965,-0.461223196874152,-4.2659395625175,1.12405339965798,0.803399386949932,0,0
